time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,2,major,D0,major,D0,5,2.0
4/4,1,2,major,D0,major,E0,5,2.0
4/4,1,2,major,D0,major,F#,5,2.0
4/4,1,2,major,D0,major,G0,5,2.0
4/4,1,2,major,D0,major,rest,0,2.0
4/4,1,2,major,D0,major,F#,5,2.0
4/4,1,2,major,D0,major,rest,0,2.0
4/4,1,2,major,D0,major,E0,5,2.0
4/4,2,2,major,G0,major,rest,0,2.0
4/4,2,2,major,G0,major,D0,5,2.0
4/4,2,2,major,G0,major,rest,0,2.0
4/4,2,2,major,G0,major,A0,4,2.0
4/4,2,2,major,G0,major,B0,4,2.0
4/4,2,2,major,G0,major,D0,5,2.0
4/4,2,2,major,G0,major,D0,5,2.0
4/4,2,2,major,G0,major,B0,4,2.0
4/4,3,2,major,D0,major,D0,5,2.0
4/4,3,2,major,D0,major,E0,5,2.0
4/4,3,2,major,D0,major,F#,5,2.0
4/4,3,2,major,D0,major,G0,5,2.0
4/4,3,2,major,D0,major,rest,0,2.0
4/4,3,2,major,D0,major,F#,5,2.0
4/4,3,2,major,D0,major,rest,0,2.0
4/4,3,2,major,D0,major,E0,5,2.0
4/4,4,2,major,G0,major,rest,0,2.0
4/4,4,2,major,G0,major,D0,5,2.0
4/4,4,2,major,G0,major,rest,0,2.0
4/4,4,2,major,G0,major,A0,4,2.0
4/4,4,2,major,G0,major,B0,4,2.0
4/4,4,2,major,G0,major,D0,5,2.0
4/4,4,2,major,G0,major,D0,5,2.0
4/4,4,2,major,G0,major,E0,5,2.0
4/4,5,2,major,D0,major,D0,4,2.0
4/4,5,2,major,D0,major,E0,4,2.0
4/4,5,2,major,D0,major,F#,4,2.0
4/4,5,2,major,D0,major,G0,4,2.0
4/4,5,2,major,D0,major,G0,4,2.0
4/4,5,2,major,D0,major,A0,4,2.0
4/4,5,2,major,D0,major,F#,4,4.0
4/4,6,2,major,G0,major,rest,0,2.0
4/4,6,2,major,G0,major,G0,4,2.0
4/4,6,2,major,G0,major,G0,4,2.0
4/4,6,2,major,G0,major,G0,4,2.0
4/4,6,2,major,G0,major,G0,4,6.0
4/4,6,2,major,G0,major,A0,4,2.0
4/4,7,2,major,D0,major,A0,4,2.0
4/4,7,2,major,D0,major,F#,4,2.0
4/4,7,2,major,D0,major,F#,4,2.0
4/4,7,2,major,D0,major,F#,4,2.0
4/4,7,2,major,D0,major,F#,4,4.0
4/4,7,2,major,D0,major,rest,0,4.0
4/4,8,2,major,G0,major,rest,0,4.0
4/4,8,2,major,G0,major,rest,0,4.0
4/4,8,2,major,G0,major,rest,0,4.0
4/4,8,2,major,G0,major,rest,0,4.0
4/4,9,2,major,D0,major,D0,4,2.0
4/4,9,2,major,D0,major,E0,4,2.0
4/4,9,2,major,D0,major,F#,4,2.0
4/4,9,2,major,D0,major,G0,4,2.0
