time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,6,major,C#,major,G#,4,4.0
4/4,1,6,major,C#,major,G#,4,2.0
4/4,1,6,major,C#,major,G#,4,2.0
4/4,1,6,major,C#,major,B0,4,2.0
4/4,1,6,major,C#,major,C#,5,4.0
4/4,1,6,major,C#,major,D#,5,2.0
4/4,2,6,major,B0,major,D#,5,8.0
4/4,2,6,major,B0,major,D#,5,4.0
4/4,2,6,major,B0,major,F#,5,2.0
4/4,2,6,major,B0,major,F#,5,2.0
4/4,3,6,major,F#,major,D#,5,4.0
4/4,3,6,major,F#,major,C#,5,4.0
4/4,3,6,major,F#,major,A#,4,2.0
4/4,3,6,major,F#,major,G#,4,2.0
4/4,3,6,major,F#,major,F#,4,2.0
4/4,3,6,major,F#,major,G#,4,2.0
4/4,4,6,major,C#,major,G#,4,16.0
4/4,4,6,major,C#,major,rest,0,4.0
4/4,4,6,major,C#,major,rest,0,8.0
