time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-6,major,Eb,minor,Eb,4,8.0
3/4,1,-6,major,Eb,minor,F0,4,4.0
3/4,2,-6,major,Eb,minor,Gb,4,8.0
3/4,2,-6,major,Eb,minor,F0,4,4.0
3/4,3,-6,major,Bb,major,Ab,4,8.0
3/4,3,-6,major,Bb,major,Gb,4,4.0
3/4,4,-6,major,Bb,major,F0,4,8.0
3/4,4,-6,major,Bb,major,Eb,4,4.0
3/4,5,-6,major,Db,major-sixth,Ab,4,8.0
3/4,5,-6,major,Db,major-sixth,Gb,4,4.0
3/4,6,-6,major,Db,major-sixth,F0,4,8.0
3/4,6,-6,major,Db,major-sixth,Eb,4,4.0
3/4,7,-6,major,Ab,major,Ab,4,8.0
3/4,7,-6,major,Ab,major,Gb,4,4.0
3/4,8,-6,major,Ab,major,F0,4,8.0
3/4,8,-6,major,Ab,major,Eb,4,4.0
3/4,9,-6,major,Bb,suspended-fourth,Bb,4,12.0
3/4,10,-6,major,Bb,suspended-fourth,Bb,4,12.0
3/4,11,-6,major,Eb,diminished,Eb,4,12.0
3/4,11,-6,major,Eb,diminished,Eb,5,12.0
3/4,12,-6,major,Eb,diminished,Eb,4,12.0
3/4,12,-6,major,Eb,diminished,Eb,5,12.0
3/4,13,-6,major,Eb,minor,Eb,4,8.0
3/4,13,-6,major,Eb,minor,F0,4,4.0
3/4,14,-6,major,Eb,minor,Gb,4,8.0
3/4,14,-6,major,Eb,minor,F0,4,4.0
3/4,15,-6,major,Bb,major,Ab,4,8.0
3/4,15,-6,major,Bb,major,Gb,4,4.0
3/4,16,-6,major,Bb,major,F0,4,8.0
3/4,16,-6,major,Bb,major,Eb,4,4.0
3/4,17,-6,major,Db,major-sixth,Ab,4,8.0
3/4,17,-6,major,Db,major-sixth,Gb,4,4.0
3/4,18,-6,major,Db,major-sixth,F0,4,8.0
3/4,18,-6,major,Db,major-sixth,Eb,4,4.0
3/4,19,-6,major,Ab,major,Ab,4,8.0
3/4,19,-6,major,Ab,major,Gb,4,4.0
3/4,20,-6,major,Ab,major,F0,4,8.0
3/4,20,-6,major,Ab,major,Eb,4,4.0
3/4,21,-6,major,Bb,major,F0,4,12.0
3/4,22,-6,major,Bb,major,F0,4,12.0
3/4,23,-6,major,Bb,major,F0,4,12.0
3/4,24,-6,major,Bb,major,F0,4,12.0
3/4,25,4,major,F#,minor-ninth,E0,5,12.0
3/4,26,4,major,F#,minor-ninth,E0,5,8.0
3/4,26,4,major,F#,minor-ninth,D#,5,4.0
3/4,27,4,major,E0,major-ninth,B0,4,12.0
3/4,28,4,major,E0,major-ninth,B0,4,12.0
3/4,29,4,major,F#,major-ninth,E0,5,8.0
3/4,29,4,major,F#,major-ninth,D#,5,4.0
3/4,30,4,major,F#,major-ninth,E0,5,8.0
3/4,30,4,major,F#,major-ninth,D#,5,4.0
3/4,31,4,major,E0,major-ninth,B0,4,12.0
3/4,32,4,major,E0,major-ninth,B0,4,12.0
3/4,33,4,major,E0,major,G#,4,8.0
3/4,33,4,major,E0,major,A0,4,4.0
3/4,34,4,major,E0,major,G#,4,8.0
3/4,34,4,major,E0,major,A0,4,4.0
3/4,35,4,major,B0,major,B0,4,12.0
3/4,36,4,major,B0,major,B0,4,12.0
3/4,37,4,major,D0,major,F#,4,8.0
3/4,37,4,major,D0,major,G#,4,4.0
3/4,38,4,major,D0,major,F#,4,8.0
3/4,38,4,major,D0,major,G#,4,4.0
3/4,39,4,major,A0,major,A0,4,12.0
3/4,40,4,major,A0,major,rest,0,4.0
3/4,40,4,major,A0,major,rest,0,4.0
3/4,40,4,major,A0,major,E0,4,4.0
3/4,41,4,major,C0,major,E0,4,4.0
3/4,41,4,major,C0,major,F#,4,8.0
3/4,42,4,major,C0,major,E0,4,4.0
3/4,42,4,major,C0,major,F#,4,8.0
3/4,43,-6,major,Ab,major,Ab,4,12.0
3/4,44,-6,major,Ab,major,Ab,4,12.0
3/4,45,-6,major,Ab,major,Ab,4,12.0
3/4,46,-6,major,Ab,major,rest,0,4.0
3/4,46,-6,major,Ab,major,rest,0,4.0
3/4,46,-6,major,Ab,major,Ab,4,4.0
3/4,47,-6,major,Gb,major,Bb,4,4.0
3/4,47,-6,major,Gb,major,Bb,4,4.0
3/4,47,-6,major,Gb,major,F0,5,4.0
3/4,48,-6,major,Gb,major,Eb,5,4.0
3/4,48,-6,major,Gb,major,rest,0,4.0
3/4,48,-6,major,Gb,major,Bb,4,4.0
3/4,49,-6,major,Ab,dominant-ninth,Ab,4,12.0
3/4,50,-6,major,Ab,dominant-ninth,rest,0,4.0
3/4,50,-6,major,Ab,dominant-ninth,rest,0,4.0
3/4,50,-6,major,Ab,dominant-ninth,Ab,4,4.0
3/4,51,-6,major,Gb,major,Bb,4,8.0
3/4,51,-6,major,Gb,major,F0,5,4.0
3/4,52,-6,major,Gb,major,Eb,5,8.0
3/4,52,-6,major,Gb,major,Bb,4,4.0
3/4,53,-6,major,Ab,major,Ab,4,12.0
3/4,54,-6,major,Ab,major,Ab,4,12.0
3/4,55,-6,major,Gb,major,Eb,5,8.0
3/4,55,-6,major,Gb,major,F0,5,4.0
3/4,56,-6,major,Gb,major,Eb,5,8.0
3/4,56,-6,major,Gb,major,F0,5,4.0
3/4,57,-6,major,Ab,major,Gb,5,4.0
3/4,57,-6,major,Ab,major,F0,5,4.0
3/4,57,-6,major,Ab,major,F0,5,4.0
3/4,58,-6,major,Ab,major,Eb,5,8.0
3/4,58,-6,major,Ab,major,rest,0,4.0
3/4,59,-6,major,Gb,major,Gb,5,8.0
3/4,59,-6,major,Gb,major,F0,5,4.0
3/4,60,-6,major,Gb,major,Eb,5,8.0
3/4,60,-6,major,Gb,major,F0,5,4.0
3/4,61,-6,major,Ab,major,Gb,5,8.0
3/4,61,-6,major,Ab,major,Ab,5,4.0
3/4,62,-6,major,Ab,major,Bb,5,8.0
3/4,62,-6,major,Ab,major,rest,0,4.0
3/4,63,-6,major,F0,minor-seventh,Ab,4,8.0
3/4,63,-6,major,F0,minor-seventh,rest,0,4.0
3/4,64,-6,major,Bb,minor,Db,5,12.0
3/4,65,-6,major,Eb,minor,Bb,4,4.0
3/4,65,-6,major,Eb,minor,Bb,4,2.0
3/4,65,-6,major,Eb,minor,Ab,4,2.0
3/4,65,-6,major,Eb,minor,Bb,4,4.0
3/4,66,-6,major,Ab,major,Ab,4,4.0
3/4,66,-6,major,Ab,major,Gb,4,4.0
3/4,66,-6,major,Ab,major,F0,4,4.0
3/4,67,-6,major,F0,minor-seventh,Ab,4,8.0
3/4,67,-6,major,F0,minor-seventh,Ab,4,4.0
3/4,68,-6,major,Bb,minor,Db,5,4.0
3/4,68,-6,major,Bb,minor,Db,5,4.0
3/4,68,-6,major,Bb,minor,Db,5,4.0
3/4,69,-6,major,Eb,minor,Bb,4,4.0
3/4,69,-6,major,Eb,minor,Bb,4,1.0
3/4,69,-6,major,Eb,minor,Ab,4,3.0
3/4,69,-6,major,Eb,minor,Ab,4,1.0
3/4,69,-6,major,Eb,minor,Gb,4,2.0
3/4,69,-6,major,Eb,minor,Ab,4,1.0
3/4,70,-6,major,Ab,major,Ab,4,8.0
3/4,70,-6,major,Ab,major,rest,0,4.0
3/4,71,-6,major,Bb,minor,F0,5,8.0
3/4,71,-6,major,Bb,minor,F0,5,4.0
3/4,72,-6,major,Eb,major,Eb,5,8.0
3/4,72,-6,major,Eb,major,rest,0,4.0
3/4,73,-6,major,F0,minor-seventh,C0,5,8.0
