time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,7,major,C#,major,C#,4,4.0
4/4,1,7,major,C#,major,D#,4,2.0
4/4,1,7,major,C#,major,E#,4,4.0
4/4,1,7,major,C#,major,D#,4,2.0
4/4,1,7,major,C#,major,C#,4,2.0
4/4,1,7,major,C#,major,D-2,4,2.0
4/4,2,7,major,B0,major,B0,3,4.0
4/4,2,7,major,B0,major,C#,4,2.0
4/4,2,7,major,B0,major,D#,4,4.0
4/4,2,7,major,B0,major,C#,4,2.0
4/4,2,7,major,B0,major,B0,3,2.0
4/4,2,7,major,B0,major,E0,4,2.0
4/4,3,7,major,E0,major,E0,4,4.0
4/4,3,7,major,E0,major,F#,4,2.0
4/4,3,7,major,E0,major,G#,4,4.0
4/4,3,7,major,E0,major,F#,4,2.0
4/4,3,7,major,E0,major,E0,4,2.0
4/4,3,7,major,E0,major,D#,4,2.0
4/4,4,7,major,C#,major,C#,4,4.0
4/4,4,7,major,C#,major,D#,4,2.0
4/4,4,7,major,C#,major,E#,4,4.0
4/4,4,7,major,C#,major,D#,4,2.0
4/4,4,7,major,C#,major,C#,4,2.0
4/4,4,7,major,C#,major,D-2,4,2.0
4/4,5,7,major,B0,major,B0,3,4.0
4/4,5,7,major,B0,major,C#,4,2.0
4/4,5,7,major,B0,major,D#,4,4.0
4/4,5,7,major,B0,major,C#,4,2.0
4/4,5,7,major,B0,major,B0,3,2.0
4/4,5,7,major,B0,major,E0,4,2.0
4/4,6,7,major,E0,major,E0,4,4.0
4/4,6,7,major,E0,major,F#,4,2.0
4/4,6,7,major,E0,major,G#,4,4.0
4/4,6,7,major,E0,major,F#,4,2.0
4/4,6,7,major,E0,major,E0,4,2.0
4/4,6,7,major,E0,major,G#,4,2.0
4/4,7,7,major,G#,major,G#,4,4.0
4/4,7,7,major,G#,major,A#,4,2.0
4/4,7,7,major,G#,major,D-2,5,4.0
4/4,7,7,major,G#,major,A#,4,2.0
4/4,7,7,major,G#,major,G#,4,2.0
4/4,7,7,major,G#,major,C0,5,2.0
4/4,8,7,major,G#,major,C0,5,4.0
4/4,8,7,major,G#,major,C#,5,2.0
4/4,8,7,major,G#,major,D#,5,4.0
4/4,8,7,major,G#,major,C#,5,2.0
4/4,8,7,major,G#,major,C0,5,2.0
4/4,8,7,major,G#,major,C#,5,2.0
4/4,9,7,major,F#,major,C#,5,4.0
4/4,9,7,major,F#,major,A#,4,2.0
4/4,9,7,major,F#,major,A#,4,4.0
4/4,9,7,major,F#,major,G#,4,2.0
4/4,9,7,major,F#,major,F#,4,4.0
4/4,10,7,major,F#,major,C#,5,4.0
4/4,10,7,major,F#,major,A#,4,2.0
4/4,10,7,major,F#,major,A#,4,4.0
4/4,10,7,major,F#,major,G#,4,2.0
4/4,10,7,major,F#,major,F#,4,4.0
4/4,11,7,major,E0,major,B0,4,4.0
4/4,11,7,major,E0,major,G#,4,2.0
4/4,11,7,major,E0,major,G#,4,4.0
4/4,11,7,major,E0,major,F#,4,2.0
4/4,11,7,major,E0,major,E0,4,4.0
4/4,12,7,major,E0,major,B0,4,4.0
4/4,12,7,major,E0,major,G#,4,2.0
4/4,12,7,major,E0,major,G#,4,4.0
4/4,12,7,major,E0,major,F#,4,2.0
4/4,12,7,major,E0,major,E0,4,2.0
4/4,12,7,major,E0,major,D#,4,2.0
4/4,13,7,major,C#,major,C#,4,4.0
4/4,13,7,major,C#,major,D#,4,2.0
4/4,13,7,major,C#,major,E#,4,4.0
4/4,13,7,major,C#,major,D#,4,2.0
4/4,13,7,major,C#,major,C#,4,2.0
4/4,13,7,major,C#,major,D-2,4,2.0
4/4,14,7,major,B0,major,B0,3,4.0
4/4,14,7,major,B0,major,C#,4,2.0
4/4,14,7,major,B0,major,D#,4,4.0
4/4,14,7,major,B0,major,C#,4,2.0
4/4,14,7,major,B0,major,B0,3,2.0
4/4,14,7,major,B0,major,C#,4,2.0
4/4,15,7,major,C#,major,C#,4,16.0
4/4,16,7,major,C#,major,C#,4,16.0
4/4,17,7,major,C#,major,rest,0,4.0
4/4,17,7,major,C#,major,rest,0,2.0
4/4,17,7,major,C#,major,C#,4,2.0
4/4,17,7,major,C#,major,G#,4,2.0
4/4,17,7,major,C#,major,F#,4,2.0
4/4,17,7,major,C#,major,F0,4,2.0
4/4,17,7,major,C#,major,D#,4,2.0
4/4,18,7,major,B0,major,D#,4,2.0
4/4,18,7,major,B0,major,C#,4,4.0
4/4,18,7,major,B0,major,rest,0,4.0
4/4,18,7,major,B0,major,rest,0,4.0
4/4,18,7,major,B0,major,rest,0,2.0
4/4,19,7,major,C#,major,rest,0,4.0
4/4,19,7,major,C#,major,rest,0,2.0
4/4,19,7,major,C#,major,rest,0,2.0
4/4,19,7,major,C#,major,G#,4,2.0
4/4,19,7,major,C#,major,F#,4,2.0
4/4,19,7,major,C#,major,F0,4,2.0
4/4,19,7,major,C#,major,G#,4,2.0
4/4,20,7,major,A#,minor,A#,4,4.0
4/4,20,7,major,A#,minor,E#,4,4.0
4/4,20,7,major,A#,minor,rest,0,2.0
4/4,20,7,major,A#,minor,G#,4,2.0
4/4,20,7,major,A#,minor,A#,4,2.0
4/4,20,7,major,A#,minor,B0,4,2.0
4/4,21,7,major,B0,major,B0,4,2.0
4/4,21,7,major,B0,major,B0,4,2.0
4/4,21,7,major,B0,major,B0,4,2.0
4/4,21,7,major,B0,major,B0,4,4.0
4/4,21,7,major,B0,major,A#,4,2.0
4/4,21,7,major,B0,major,G#,4,2.0
4/4,21,7,major,B0,major,F#,4,2.0
4/4,22,7,major,F#,major,A#,4,2.0
4/4,22,7,major,F#,major,A#,4,2.0
4/4,22,7,major,F#,major,A#,4,2.0
4/4,22,7,major,F#,major,A#,4,2.0
4/4,22,7,major,F#,major,A#,4,2.0
4/4,22,7,major,F#,major,G#,4,2.0
4/4,22,7,major,F#,major,F#,4,2.0
4/4,22,7,major,F#,major,A#,4,2.0
4/4,23,7,major,C#,major,G#,4,4.0
4/4,23,7,major,C#,major,F0,4,2.0
4/4,23,7,major,C#,major,C#,4,2.0
4/4,23,7,major,C#,major,G#,4,2.0
4/4,23,7,major,C#,major,F#,4,2.0
4/4,23,7,major,C#,major,F0,4,2.0
4/4,23,7,major,C#,major,D#,4,2.0
4/4,24,7,major,B0,major,D#,4,2.0
4/4,24,7,major,B0,major,C#,4,4.0
4/4,24,7,major,B0,major,rest,0,4.0
4/4,24,7,major,B0,major,rest,0,4.0
4/4,24,7,major,B0,major,rest,0,2.0
4/4,25,7,major,C#,major,rest,0,4.0
4/4,25,7,major,C#,major,rest,0,2.0
4/4,25,7,major,C#,major,C#,4,2.0
4/4,25,7,major,C#,major,G#,4,2.0
4/4,25,7,major,C#,major,F#,4,2.0
4/4,25,7,major,C#,major,F0,4,2.0
4/4,25,7,major,C#,major,G#,4,2.0
4/4,26,7,major,A#,minor,A#,4,4.0
4/4,26,7,major,A#,minor,E#,4,4.0
4/4,26,7,major,A#,minor,rest,0,2.0
4/4,26,7,major,A#,minor,G#,4,2.0
4/4,26,7,major,A#,minor,A#,4,2.0
4/4,26,7,major,A#,minor,B0,4,2.0
4/4,27,7,major,B0,major,B0,4,2.0
4/4,27,7,major,B0,major,B0,4,2.0
4/4,27,7,major,B0,major,B0,4,2.0
4/4,27,7,major,B0,major,B0,4,4.0
4/4,27,7,major,B0,major,A#,4,2.0
4/4,27,7,major,B0,major,G#,4,2.0
4/4,27,7,major,B0,major,F#,4,2.0
4/4,28,7,major,F#,major,F#,4,2.0
4/4,28,7,major,F#,major,F#,4,2.0
4/4,28,7,major,F#,major,F#,4,2.0
4/4,28,7,major,F#,major,F#,4,2.0
4/4,28,7,major,F#,major,F#,4,2.0
4/4,28,7,major,F#,major,F0,4,2.0
4/4,28,7,major,F#,major,D#,4,2.0
4/4,28,7,major,F#,major,C#,4,2.0
4/4,29,7,major,C#,major,C#,4,2.0
4/4,29,7,major,C#,major,C#,5,2.0
4/4,29,7,major,C#,major,C#,5,2.0
