time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-6,major,[],[],rest,0,8.0
4/4,1,-6,major,[],[],Db,4,2.0
4/4,1,-6,major,[],[],Eb,4,2.0
4/4,1,-6,major,[],[],F0,4,3.0
4/4,1,-6,major,[],[],Gb,4,1.0
4/4,2,-6,major,Gb,major,Bb,3,12.0
4/4,2,-6,major,Gb,major,rest,0,4.0
4/4,3,-6,major,Gb,major,rest,0,8.0
4/4,3,-6,major,Gb,major,Bb,3,2.0
4/4,3,-6,major,Gb,major,Cb,4,2.0
4/4,3,-6,major,Gb,major,Db,4,3.0
4/4,3,-6,major,Gb,major,Eb,4,1.0
4/4,4,-6,major,Db,major,Eb,4,4.0
4/4,4,-6,major,Db,major,Db,4,8.0
4/4,4,-6,major,Db,major,rest,0,4.0
4/4,5,-6,major,Db,major,rest,0,4.0
4/4,5,-6,major,Db,major,rest,0,2.0
4/4,5,-6,major,Db,major,Db,4,2.0
4/4,5,-6,major,Db,major,Db,4,2.0
4/4,5,-6,major,Db,major,Cb,4,2.0
4/4,5,-6,major,Db,major,Bb,3,2.0
4/4,5,-6,major,Db,major,Ab,3,2.0
4/4,6,-6,major,Ab,minor,Cb,4,12.0
4/4,6,-6,major,Ab,minor,rest,0,4.0
4/4,7,-6,major,Ab,minor,rest,0,4.0
4/4,7,-6,major,Ab,minor,rest,0,2.0
4/4,7,-6,major,Ab,minor,Db,4,2.0
4/4,7,-6,major,Ab,minor,Db,4,2.0
4/4,7,-6,major,Ab,minor,Cb,4,2.0
4/4,7,-6,major,Ab,minor,Bb,3,3.0
4/4,7,-6,major,Ab,minor,Ab,3,1.0
4/4,8,-6,major,Db,major,Cb,4,12.0
4/4,8,-6,major,Db,major,rest,0,4.0
4/4,9,-6,major,Db,major,rest,0,8.0
4/4,9,-6,major,Db,major,Db,4,2.0
4/4,9,-6,major,Db,major,Eb,4,2.0
4/4,9,-6,major,Db,major,F0,4,3.0
4/4,9,-6,major,Db,major,Gb,4,1.0
4/4,10,-6,major,Gb,major,Bb,3,12.0
4/4,10,-6,major,Gb,major,rest,0,4.0
4/4,11,-6,major,Gb,major,rest,0,8.0
4/4,11,-6,major,Gb,major,Bb,3,2.0
4/4,11,-6,major,Gb,major,Cb,4,2.0
4/4,11,-6,major,Gb,major,Db,4,2.0
4/4,11,-6,major,Gb,major,Eb,4,2.0
4/4,12,-6,major,Db,major,Eb,4,4.0
4/4,12,-6,major,Db,major,Db,4,8.0
4/4,12,-6,major,Db,major,rest,0,4.0
4/4,13,-6,major,Db,major,rest,0,8.0
4/4,13,-6,major,Db,major,Db,4,2.0
4/4,13,-6,major,Db,major,Cb,4,2.0
4/4,13,-6,major,Db,major,Bb,3,2.0
4/4,13,-6,major,Db,major,Ab,3,2.0
4/4,14,-6,major,Ab,minor,Cb,4,8.0
4/4,14,-6,major,Ab,minor,rest,0,8.0
4/4,15,-6,major,Ab,minor,rest,0,8.0
4/4,15,-6,major,Ab,minor,Db,4,2.0
4/4,15,-6,major,Ab,minor,Cb,4,2.0
4/4,15,-6,major,Ab,minor,Bb,3,3.0
4/4,15,-6,major,Ab,minor,Ab,3,1.0
4/4,16,-6,major,Db,major,Cb,4,12.0
4/4,16,-6,major,Db,major,rest,0,4.0
4/4,17,-6,major,Db,major,rest,0,4.0
4/4,17,-6,major,Db,major,rest,0,2.0
4/4,17,-6,major,Db,major,Db,4,2.0
4/4,17,-6,major,Db,major,Db,4,2.0
4/4,17,-6,major,Db,major,Cb,5,2.0
4/4,17,-6,major,Db,major,Cb,5,3.0
4/4,17,-6,major,Db,major,Bb,4,1.0
4/4,18,-6,major,Gb,major,Bb,4,12.0
4/4,18,-6,major,Gb,major,rest,0,4.0
4/4,19,-6,major,Bb,dominant,rest,0,4.0
4/4,19,-6,major,Bb,dominant,rest,0,2.0
4/4,19,-6,major,Bb,dominant,Bb,3,2.0
4/4,19,-6,major,Bb,dominant,Bb,3,2.0
4/4,19,-6,major,Bb,dominant,Ab,4,2.0
4/4,19,-6,major,Bb,dominant,Ab,4,2.0
4/4,19,-6,major,Bb,dominant,Gb,4,2.0
4/4,20,-6,major,Eb,minor,Gb,4,12.0
4/4,20,-6,major,Eb,minor,rest,0,4.0
