time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,0,-6,major,[],[],Bb,4,2.0
4/4,0,-6,major,[],[],Cb,5,2.0
4/4,1,-6,major,Gb,major,Db,5,4.0
4/4,1,-6,major,Gb,major,Bb,4,8.0
4/4,1,-6,major,Gb,major,Gb,4,4.0
4/4,2,-6,major,Gb,dominant,E0,5,8.0
4/4,2,-6,major,Gb,dominant,E0,5,2.0
4/4,2,-6,major,Gb,dominant,E0,5,2.0
4/4,2,-6,major,Gb,dominant,Eb,5,2.0
4/4,2,-6,major,Gb,dominant,Db,5,2.0
4/4,3,-6,major,Cb,major,Db,5,4.0
4/4,3,-6,major,Cb,major,Cb,5,12.0
4/4,4,-6,major,Cb,minor,rest,0,8.0
4/4,4,-6,major,Cb,minor,rest,0,4.0
4/4,4,-6,major,Cb,minor,Db,5,2.0
4/4,4,-6,major,Cb,minor,Cb,5,2.0
4/4,5,-6,major,Gb,major,Bb,4,8.0
4/4,5,-6,major,Gb,major,Bb,4,2.0
4/4,5,-6,major,Gb,major,Db,4,2.0
4/4,5,-6,major,Gb,major,Gb,4,2.0
4/4,5,-6,major,Gb,major,Bb,4,2.0
4/4,6,-6,major,Eb,dominant,Db,5,8.0
4/4,6,-6,major,Eb,dominant,Db,5,2.0
4/4,6,-6,major,Eb,dominant,C0,5,2.0
4/4,6,-6,major,Eb,dominant,Db,5,2.0
4/4,6,-6,major,Eb,dominant,Eb,5,2.0
4/4,7,-6,major,Ab,major,Ab,4,16.0
4/4,8,-6,major,Db,dominant,rest,0,8.0
4/4,8,-6,major,Db,dominant,rest,0,4.0
4/4,8,-6,major,Db,dominant,Bb,4,2.0
4/4,8,-6,major,Db,dominant,Cb,5,2.0
4/4,9,-6,major,Gb,major,Db,5,4.0
4/4,9,-6,major,Gb,major,Bb,4,8.0
4/4,9,-6,major,Gb,major,Gb,4,4.0
4/4,10,-6,major,Gb,dominant,E0,5,8.0
4/4,10,-6,major,Gb,dominant,E0,5,2.0
4/4,10,-6,major,Gb,dominant,E0,5,2.0
4/4,10,-6,major,Gb,dominant,Eb,5,2.0
4/4,10,-6,major,Gb,dominant,Db,5,2.0
4/4,11,-6,major,Cb,major,Db,5,4.0
4/4,11,-6,major,Cb,major,Cb,5,12.0
4/4,12,-6,major,Cb,minor,rest,0,8.0
4/4,12,-6,major,Cb,minor,rest,0,4.0
4/4,12,-6,major,Cb,minor,Db,5,2.0
4/4,12,-6,major,Cb,minor,Cb,5,2.0
4/4,13,-6,major,Gb,major,Bb,4,8.0
4/4,13,-6,major,Gb,major,Bb,4,2.0
4/4,13,-6,major,Gb,major,Db,4,2.0
4/4,13,-6,major,Gb,major,Gb,4,2.0
4/4,13,-6,major,Gb,major,Bb,4,2.0
4/4,14,-6,major,Ab,dominant,Ab,4,8.0
4/4,14,-6,major,Ab,dominant,Ab,4,2.0
4/4,14,-6,major,Ab,dominant,Db,4,2.0
4/4,14,-6,major,Ab,dominant,F0,4,2.0
4/4,14,-6,major,Ab,dominant,Ab,4,2.0
4/4,15,-6,major,Gb,major,Gb,4,16.0
4/4,16,-6,major,Gb,major,rest,0,8.0
4/4,16,-6,major,Gb,major,rest,0,4.0
4/4,16,-6,major,Gb,major,Cb,5,2.0
4/4,16,-6,major,Gb,major,Db,5,2.0
4/4,17,-6,major,Cb,major,Eb,5,2.0
4/4,17,-6,major,Cb,major,Cb,5,2.0
4/4,17,-6,major,Cb,major,Gb,4,8.0
4/4,17,-6,major,Cb,major,Eb,5,4.0
4/4,18,-6,major,Gb,major,Db,5,16.0
4/4,19,-6,major,Db,dominant,rest,0,2.0
4/4,19,-6,major,Db,dominant,Bb,4,2.0
4/4,19,-6,major,Db,dominant,Cb,5,2.0
4/4,19,-6,major,Db,dominant,Bb,4,2.0
4/4,19,-6,major,Db,dominant,Cb,5,2.0
4/4,19,-6,major,Db,dominant,Cb,5,2.0
4/4,19,-6,major,Db,dominant,Db,5,4.0
4/4,20,-6,major,Gb,major,Bb,4,16.0
4/4,21,-6,major,Bb,dominant,rest,0,2.0
4/4,21,-6,major,Bb,dominant,Gb,4,2.0
4/4,21,-6,major,Bb,dominant,Ab,4,2.0
4/4,21,-6,major,Bb,dominant,G0,4,2.0
4/4,21,-6,major,Bb,dominant,Ab,4,4.0
4/4,21,-6,major,Bb,dominant,Bb,4,4.0
4/4,22,-6,major,Eb,minor,Gb,4,12.0
4/4,22,-6,major,Eb,minor,Ab,4,4.0
